age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,TARGET,ID
56,housemaid,married,basic.4y,0,0,0,telephone,may,mon,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1
57,services,married,high.school,,0,0,telephone,may,mon,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2
37,services,married,high.school,0,1,0,telephone,may,mon,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,3
56,services,married,high.school,0,0,1,telephone,may,mon,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,5
45,services,married,basic.9y,,0,0,telephone,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,6
41,blue-collar,married,,,0,0,telephone,may,mon,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,8
24,technician,single,professional.course,0,1,0,telephone,may,mon,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,9
41,blue-collar,married,,,0,0,telephone,may,mon,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,11
25,services,single,high.school,0,1,0,telephone,may,mon,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,12
29,blue-collar,single,high.school,0,0,1,telephone,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,13
35,blue-collar,married,basic.6y,0,1,0,telephone,may,mon,312,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,17
39,management,single,basic.9y,,0,0,telephone,may,mon,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,20
30,unemployed,married,high.school,0,0,0,telephone,may,mon,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,21
55,blue-collar,married,basic.4y,,1,0,telephone,may,mon,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,22
55,retired,single,high.school,0,1,0,telephone,may,mon,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,23
41,technician,single,high.school,0,1,0,telephone,may,mon,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,24
37,admin.,married,high.school,0,1,0,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,25
35,technician,married,university.degree,0,0,1,telephone,may,mon,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,26
39,self-employed,married,basic.9y,,0,0,telephone,may,mon,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,28
54,technician,single,university.degree,,0,0,telephone,may,mon,255,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,29
55,,married,university.degree,,,,telephone,may,mon,362,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,30
46,admin.,married,,0,0,0,telephone,may,mon,348,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,31
59,technician,married,,0,1,0,telephone,may,mon,386,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,32
49,blue-collar,married,,0,0,0,telephone,may,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,33
54,blue-collar,divorced,basic.4y,0,0,0,telephone,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,35
55,,married,basic.4y,,1,0,telephone,may,mon,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,36
52,technician,married,basic.9y,0,1,0,telephone,may,mon,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,38
41,admin.,married,university.degree,0,1,0,telephone,may,mon,577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,39
56,technician,married,basic.4y,0,1,0,telephone,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,40
32,entrepreneur,married,high.school,0,1,0,telephone,may,mon,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,42
38,admin.,single,professional.course,0,0,0,telephone,may,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,43
57,admin.,married,university.degree,0,0,1,telephone,may,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,44
44,admin.,married,university.degree,,1,0,telephone,may,mon,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,45
42,technician,single,professional.course,,0,0,telephone,may,mon,22,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,46
57,admin.,married,university.degree,0,1,1,telephone,may,mon,616,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,47
40,blue-collar,married,basic.9y,0,0,1,telephone,may,mon,178,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,48
35,admin.,married,university.degree,0,1,0,telephone,may,mon,355,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,49
45,blue-collar,married,basic.9y,0,1,0,telephone,may,mon,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,50
54,admin.,married,high.school,0,0,0,telephone,may,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,51
